City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,egilsstadir,65.2653,-14.3948,276.1,87,75,6.17,IS,1699459711
319,varadero,23.1536,-81.2514,301.57,68,12,6.13,CU,1699459711
320,paciran,-6.8767,112.3761,301.18,70,29,1.6,ID,1699459712
321,twon-brass,4.3151,6.2418,301.22,76,45,5.04,NG,1699459712
322,awjilah,29.1081,21.2869,299.85,28,0,3.14,LY,1699459712
323,queenstown,-31.8976,26.8753,291.94,59,10,7.67,ZA,1699459713
324,hammerfest,70.6634,23.6821,273.4,74,40,7.2,NO,1699459714
325,imbituba,-28.24,-48.6703,300.87,56,95,6.46,BR,1699459714
326,talara,-4.5772,-81.2719,299.57,61,0,8.23,PE,1699459715
327,shahr-e babak,30.1165,55.1186,287.94,30,13,4.75,IR,1699459500
328,west wodonga,-36.1257,146.8486,289.12,100,100,3.17,AU,1699459717
329,isangel,-19.55,169.2667,294.48,76,86,6.11,VU,1699459718
330,ulsteinvik,62.3432,5.8487,281.35,75,24,3.58,NO,1699459695
331,katsuura,35.1333,140.3,289.75,71,17,3.9,JP,1699459719
332,nelson bay,-32.7167,152.15,292.59,87,30,4.47,AU,1699459720
333,roma,43.2128,-75.4557,275.69,60,0,3.6,US,1699459564
334,qalat,32.1058,66.9083,287.46,51,85,4.27,AF,1699459723
335,makurazaki,31.2667,130.3167,290.82,72,100,3.0,JP,1699459724
336,tanjung pandan,-2.75,107.65,299.3,81,17,1.98,ID,1699459725
337,bykovo,55.6361,38.0803,281.58,90,0,2.0,RU,1699459725
338,chauk,20.8833,94.8167,299.44,69,7,0.59,MM,1699459725
339,manta,-0.95,-80.7333,301.03,69,75,3.09,EC,1699459725
340,nakhon thai,17.1006,100.8374,296.38,95,50,1.08,TH,1699459726
341,rio grande,-32.035,-52.0986,298.21,87,100,2.53,BR,1699459726
342,tazovsky,67.4667,78.7,271.67,93,100,8.4,RU,1699459726
343,haapsalu,58.9431,23.5414,280.32,90,100,3.11,EE,1699459727
344,gobabis,-22.45,18.9667,306.0,8,0,1.05,NA,1699459728
345,labasa,-16.4167,179.3833,297.88,89,100,2.26,FJ,1699459728
346,bac lieu,9.285,105.7244,300.29,82,89,3.9,VN,1699459448
347,luuq,3.7938,42.5445,303.99,51,63,4.44,SO,1699459729
348,kavaratti,10.5669,72.642,301.91,70,93,1.63,IN,1699459729
349,abepura,-2.6333,140.5833,298.6,83,20,5.66,ID,1699459729
350,tazacorte,28.629,-17.9293,296.69,65,20,8.23,ES,1699459730
351,grissom air force base,40.6575,-86.1476,289.97,76,100,6.17,US,1699459730
352,afaahiti,-17.75,-149.2833,296.08,86,96,8.67,PF,1699459730
353,tura,25.5198,90.2201,291.46,81,2,1.16,IN,1699459730
354,acapulco de juarez,16.8634,-99.8901,302.66,70,15,1.28,MX,1699459452
355,greymouth,-42.4667,171.2,284.43,87,88,1.48,NZ,1699459731
356,sol'-iletsk,51.1631,54.9918,280.93,92,98,5.17,RU,1699459731
357,villa gesell,-37.2639,-56.973,295.96,44,5,3.08,AR,1699459732
358,burutu,5.3509,5.5076,302.13,72,58,3.43,NG,1699459733
359,vila velha,-20.3297,-40.2925,301.12,62,0,5.66,BR,1699459733
360,atafu village,-8.5421,-172.5159,302.17,73,100,6.21,TK,1699459734
361,embarcacion,-23.209,-64.096,312.16,34,45,4.91,AR,1699459734
362,villa paula de sarmiento,-31.4933,-68.5384,298.09,15,0,4.48,AR,1699459734
363,shizuishan,39.2333,106.7694,273.57,23,0,5.28,CN,1699459735
364,touros,-5.1989,-35.4608,303.26,57,61,8.65,BR,1699459735
